time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-04-20 22:44:34.184987,505.16,279.01,73.53,39.2
2025-04-20 22:44:35.197409,505.16,279.01,76.2,39.2
2025-04-20 22:44:36.209559,505.16,279.01,78.27,39.2
2025-04-20 22:44:37.273876,505.16,279.01,80.95,39.2
2025-04-20 22:44:38.289697,505.16,279.01,83.02,39.2
2025-04-20 22:44:39.296716,505.16,279.01,85.09,39.2
2025-04-20 22:44:40.358359,505.16,279.01,87.77,39.2
2025-04-20 22:44:41.452615,505.16,279.01,90.44,39.2
2025-04-20 22:44:42.394789,505.16,279.01,92.51,39.2
2025-04-20 22:44:43.407096,505.16,279.01,95.19,39.2
2025-04-20 22:44:44.414450,505.16,279.01,97.86,39.2
2025-04-20 22:44:45.432438,505.16,279.01,100.53,39.2
2025-04-20 22:44:46.459399,505.16,279.01,103.21,39.2
2025-04-20 22:44:47.457860,505.16,279.01,105.28,39.2
2025-04-20 22:44:48.538364,505.16,279.01,107.95,39.2
2025-04-20 22:44:49.631468,505.16,279.01,110.63,39.2
2025-04-20 22:44:50.546090,505.16,279.01,113.3,39.2
2025-04-20 22:44:51.584111,505.16,279.01,115.98,39.2
2025-04-20 22:44:52.602907,505.16,279.01,118.65,39.2
2025-04-20 22:44:53.622664,505.16,279.01,121.32,39.2
2025-04-20 22:44:54.600865,505.16,279.01,123.4,39.2
2025-04-20 22:44:55.711695,505.16,279.01,125.47,39.2
2025-04-20 22:44:56.676558,505.16,279.01,127.54,39.2
2025-04-20 22:44:57.697790,505.16,279.01,129.61,39.2
2025-04-20 22:44:58.694185,505.16,279.01,131.68,39.2
2025-04-20 22:44:59.720244,505.16,279.01,134.36,39.2
2025-04-20 22:45:00.713997,505.16,279.01,136.43,39.2
2025-04-20 22:45:01.746288,505.16,279.01,139.1,39.2
2025-04-20 22:45:02.757844,505.16,279.01,141.78,39.2
2025-04-20 22:45:03.774255,505.16,279.01,143.01,39.2
2025-04-20 22:45:04.794352,505.16,279.01,145.08,39.2
2025-04-20 22:45:05.815934,505.16,279.01,147.15,39.2
2025-04-20 22:45:06.899335,505.16,279.01,149.23,39.2
2025-04-20 22:45:07.902974,505.16,279.01,151.3,39.2
2025-04-20 22:45:08.926296,505.16,279.01,153.37,39.2
2025-04-20 22:45:09.934606,505.16,279.01,155.44,39.2
2025-04-20 22:45:10.912018,505.16,279.01,157.51,39.2
2025-04-20 22:45:11.960139,505.16,279.01,159.17,39.2
2025-04-20 22:45:13.009027,505.16,279.01,161.24,39.2
2025-04-20 22:45:13.966959,505.16,279.01,163.31,39.2
2025-04-20 22:45:14.982238,505.16,279.01,164.15,39.2
